epoch,accuracy,loss,negative,positive,pred_positive,roc_auc,sensitivity,specificity,true_negative,true_positive,val_accuracy,val_loss,val_negative,val_positive,val_pred_positive,val_roc_auc,val_sensitivity,val_speci,val_true_negative,val_true_positive
148,0.38582677,3.138315678,478,30,328,0.62953275,0.76666665,0.36192468,173,23,0.812785387,3.012931347,209,10,41,0.599043071,0.5,0.827751219,173,5
149,0.39566928,3.146728992,478,30,325,0.63800555,0.8,0.37029287,177,24,0.821917832,2.998585939,209,10,39,0.605263174,0.5,0.837320566,175,5
150,0.37992126,3.134984016,478,30,335,0.638424,0.8333333,0.35146442,168,25,0.826484025,2.984375477,209,10,38,0.609210551,0.5,0.842105269,176,5
151,0.3996063,3.136126995,478,30,319,0.57078105,0.73333335,0.3786611,181,22,0.826484025,2.970293999,209,10,38,0.610047817,0.5,0.842105269,176,5
152,0.38779527,3.101545334,478,30,331,0.65390515,0.8333333,0.35983264,172,25,0.826484025,2.956330776,209,10,38,0.606698573,0.5,0.842105269,176,5
153,0.43307087,3.072572708,478,30,310,0.6689679,0.8666667,0.40585774,194,26,0.831050217,2.942382813,209,10,37,0.610526323,0.5,0.846889973,177,5
154,0.37204725,3.075610161,478,30,335,0.5944561,0.76666665,0.34728032,166,23,0.826484025,2.928595066,209,10,38,0.609569371,0.5,0.842105269,176,5
155,0.4055118,3.045246124,478,30,320,0.6601813,0.8,0.38075313,182,24,0.81735158,2.914881229,209,10,40,0.609090924,0.5,0.832535863,174,5
156,0.36417323,3.070478678,478,30,341,0.5800558,0.8,0.3368201,161,24,0.808219194,2.901222944,209,10,42,0.635406673,0.5,0.822966516,172,5
157,0.37401575,3.066877127,478,30,330,0.5269177,0.7,0.35355648,169,21,0.808219194,2.887640476,209,10,42,0.656459332,0.5,0.822966516,172,5
158,0.4015748,2.999185324,478,30,324,0.6714784,0.8333333,0.374477,179,25,0.79908675,2.874144793,209,10,44,0.691387534,0.5,0.808612466,169,5
159,0.37401575,2.967109203,478,30,332,0.63751745,0.73333335,0.35146442,168,22,0.785388112,2.86073184,209,10,47,0.709090889,0.5,0.799043059,167,5
160,0.38582677,2.982609272,478,30,326,0.663947,0.73333335,0.36401674,174,22,0.785388112,2.847343922,209,10,47,0.722966492,0.5,0.799043059,167,5
161,0.41141734,2.955862522,478,30,309,0.5711994,0.6666667,0.39539748,189,20,0.780821919,2.834062338,209,10,50,0.748325348,0.600000024,0.789473712,165,6
162,0.39173228,2.971780062,478,30,325,0.6091004,0.76666665,0.36820084,176,23,0.780821919,2.820981264,209,10,50,0.748325348,0.600000024,0.789473712,165,6
